tconst;original_title;startYear;runtimeMinutes;genres;genre_numeric;averageRating;poster_path;acteurs/trice;director;overview_fr
tt0052614;Le Bel Âge;1960;100;Comedy,Drame;0;7.0;/98Z5yPoNIm8sQeyep5cpr5NHov9.jpg;Marcello Pagliero, Boris Vian, Jacques Doniol-Valcroze, Jean-Claude Brialy, Giani Esposito, Hubert Noël, Loleh Bellon, Ursula Kubler, Françoise Prévost, Françoise Brion;Pierre Kast;Steph, Jean-Claude et Jacques travaillent dans une boutique d'art parisienne, mais ils travaillent principalement dans le domaine de l'érotisme, qu'ils conçoivent comme un vaste champ d'exercices et d'expériences.
tt0053279;Le Signe du Lion;1962;103;Drama;1;7.2;/b5jY3jyISYMY0ReGjqtbgaPq7dr.jpg;Jess Hahn, Van Doude, Paul Bisciglia, Gilbert Edard, Christian Alers, Paul Crauchet, Michèle Girardon, Jill Olivier, Sophie Perrault, Stéphane Audran;Éric Rohmer;Un Américain à Paris vit en sillonnant ses amis de travail, et lance une fête utilisant de l'argent emprunté quand sa riche tante américaine meurt, croyant fermement en son horoscope.
tt0055910;Cybèle ou les dimanches de ville d'Avray;1962;111;Drama;1;7.8;/9L5DtYYlO3yrg2qtTCxROLnLl2V.jpg;Hardy Krüger, Daniel Ivernel, André Oumansky, René Clermont, Michel de Ré, Nicole Courcel, Patricia Gozzi, Patricia Gozzi, Anne-Marie Coffinet, Malka Ribowska, France Anglade;Serge Bourguignon;L'histoire tragique d'une jeune orpheline qui se fait l'amitié d'un vétéran innocent mais handicapé émotionnellement de la guerre d'Indochine française.
tt0056636;Un singe en hiver;1962;105;Comedy,Drame;0;7.4;/g0NxvdRRmuelSxc0NsmsgfZJrgi.jpg;Jean Gabin, Jean-Paul Belmondo, Charles Bouillaud, André Dalibert, Suzanne Flon, Gabrielle Dorziat, Hella Petri, Marcelle Arnold, Marcelle Arnold, Anne-Marie Coffinet, Hélène Dieudonné;Henri Verneuil;L'histoire d'un homme qui a cessé de boire, puis de rêver, et qui, grâce à un jeune homme qui essaie d'oublier un amour perdu dans l'alcool, redeviendra ivre pendant une nuit passionnante.
tt0056581;Thérèse Desqueyroux;1962;109;Drama;1;7.1;/xqpxhzrJzKwJTcEcm7XIL70QrPD.jpg;Philippe Noiret, Sami Frey, Richard Saint-Bris, Jean-Jacques Rémy, Harry Vardier, Emmanuelle Riva, Edith Scob, Renée Devillers, Jeanne Pérez, Hélène Dieudonné;Georges Franju;Thérèse vit dans une ville provinciale, malheureusement mariée à Bernard, un homme terne et pompeux dont le seul intérêt est de préserver son nom de famille et sa propriété. Ils vivent dans une maison de campagne isolée entourée de domestiques. Au début de son mariage, ses seules consolations sont son amour pour la forêt de pins de Bernard, qui était sa principale raison de l'épouser, et son amour pour sa belle-sœur et sa demi-sœur, Anne. Le film raconte en flashback les circonstances qui l'ont amenée à être accusée d'empoisonner son mari.
tt0057058;Le Feu follet;1963;108;Drama;1;7.8;/9iHsReoh2VuHihDmNXgLXCi18rR.jpg;Maurice Ronet, Hubert Deschamps, Jean-Paul Moulinot, Pierre Moncorbier, René Dupuy, Bernard Tiphaine, Bernard Noël, Léna Skerla, Yvonne Clech, Mona Dol;Louis Malle;Bien que son alcoolisme ait été traité, Alain se sent encore profondément mal et ne sent pas qu'il puisse quitter la clinique de désintoxication une fois pour toutes. Sa femme, vivant à New York, continue à payer pour son traitement, mais ne le contacte plus directement. Il a l'intention de se suicider, mais d'abord se rend à Paris pour rattraper ses vieux amis.
tt0057336;Muriel, ou le Temps d'un retour;1963;115;Drama;1;7.0;/pAltAnAC26V1WrYYGNGqvpcsNN7.jpg;Jean-Pierre Kérien, Jean-Baptiste Thiérrée, Claude Sainval, Jean Champion, Jean Dasté, Jean Dasté, Julien Verdier, Julien Verdier, Delphine Seyrig, Nita Klein, Laurence Badie, Martine Vatel;Alain Resnais;Dans la ville balnéaire de Boulogne, personne ne semble pouvoir faire face à leur passé, le moins d'Hélène, une vendeuse de meubles antiques, son beau-fils Bernard et son ancien amoureux Alphonse.
tt0057656;Françoise ou La Vie conjugale;1964;112;Drama;1;7.1;/sC3OzIvQhsYFutQANRNOx9ZGRdK.jpg;Jacques Charrier, Michel Subor, Alfred Adam, Giani Esposito, Jacques Monod, Yves Vincent, Marie-José Nat, Macha Méril, Blanchette Brunoy, Jacqueline Porel;André Cayatte;"L'histoire du couple de la toute première rencontre à rompre racontée d'une vue d'une femme, Françoise. Le film partage le même complot avec ""Jean-Marc ou La vie conjugale"", qui raconte la même histoire d'un autre point de vue."
tt0057657;Jean-Marc ou La Vie conjugale;1964;112;Drama;1;7.2;/kSiMW29moMyhTnySILF6r7Qy6g6.jpg;Jacques Charrier, Michel Subor, Alfred Adam, Giani Esposito, Jacques Monod, Yves Vincent, Marie-José Nat, Macha Méril, Blanchette Brunoy, Jacqueline Porel;André Cayatte;"L'histoire du couple de la toute première rencontre à rompre racontée d'une vue d'un homme, Jean-Marc. Le film partage le même complot avec ""Françoise ou La vie conjugale"", qui raconte la même histoire d'un autre point de vue."
tt0057725;À tout prendre;1963;99;Drama;1;7.1;/nFY44oYehx59sJTZW098NbNMYZg.jpg;Claude Jutra, Victor Désy, Guy Hoffmann, Guy Hoffmann, Patrick Straram, François Tassé, René Bail, Johanne Harelle, Tania Fédor, Monique Joly, Monique Mercure;Claude Jutra;Un homme lutte avec son identité, ses choix de vie, ses relations interraciales et son homosexualité latente. Portrait de quelques jeunes intellectuels au début des années 60 Montréal.
